商品名,顧客属性,問い合わせ元サイト,大区分NO,大区分名,小区分NO,小区分名,ユーザーの意図(Intent),意図要約(短),対象機能(Target Function),Webサイトのバリア(Barrier),バリア要約(短),Web自己解決可能性,推定発生ページ,発生タイミング,重要キーワード,緊急度,顧客の生の声,商品カテゴリ小カテゴリ
薄型スチール棚 幅90cm ブラック ※棚のみ 奥行20cm;薄型スチール棚用ブラケット 3段可変式 幅60・90cmタイプ専用 奥行20cm,不明,不明,1,商品単品の仕様について,1,大型什器商品について,SF90中央片面タイプへの薄型スチール棚の取付可否を確認したい,棚とブラケットで取付可否確認,仕様確認,なし,なし,中,商品ページ,注文前,薄型スチール棚;幅90cm;ブラック;奥行20cm;61-555-77-1;SF90中央片面タイプ;薄型スチール棚用ブラケット;3段可変式;幅60・90cm;61-555-39-6;取付;2つ,低,「薄型スチール棚 幅90cm ブラック ※棚のみ 奥行20cm（61-555-77-1）を、SF90中央片面タイプに取り付けつけるには、】【薄型スチール棚用ブラケット 3段可変式 幅60・90cmタイプ専用 奥行20cm（61-555-39-6）を2つ購入すれば取り付けられるという認識であってますでしょうか？」,スチール棚（共通オプション）
不明,事務担当,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,領収書の宛名表記を指定したい,領収書の宛名表記の確認,領収書発行,領収書の宛名指定可否が不明,宛名が希望名で可能か不明,中,ヘルプページ,帳票発行時,領収書;あて名;宛名;記載;名前,低,領収書のあて名は どのような記載になるか教えてください。;こちらでお願いした 名前で記載可能ですか？,不明
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,最短納品が可能か確認したい,急ぎのため最短納品希望,納期確認,なし,なし,中,商品ページ,注文前,急ぎ;最短;納品,高,すみません、急ぎで必要なので、最短で納品していただけないでしょうか。,不明
不明,事務担当,不明,8,帳票について,2,請求書の発行希望（インボイス目的以外）,請求書がアップロードされない理由を確認したい,請求書未アップロードの確認,請求書発行,請求書のアップロード状況が確認できない,請求書の掲載状況が不明,中,ログイン/マイページ,帳票発行時,12月第三営業日;請求書;アップロード,中,12月第三営業日を過ぎても請求書がアップロードされていないのはどうしてでしょうか。,不明
ライト,不明,不明,5,クレーム,2,お届け商品のパーツ不足,ライトの不具合（コントローラ切替不可）の原因確認とライト交換依頼,点灯するが切替できず交換希望,不具合調査・交換対応,なし,なし,低,不明,配送後,ライト;点灯;コントローラー;切り替えボタン;故障;交換,低,ライトは点灯したんですけれども、コントローラーの切り替えボタンで点灯の仕方が変わりません。;もし故障でしたらライトのみ交換いただけませんでしょうか。,イルミネーションライト
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,注文済み商品の到着予定日を確認したい,注文品の到着予定日確認,納期確認,なし,なし,中,注文履歴詳細,注文後,注文番号;61-813--82-4;到着日,中,商品の到着日を教えて下さい,不明
不明,不明,不明,5,クレーム,4,商品が届かない,出荷済み商品の未着の状況確認と到着日の確認をしたい,出荷済みだが未着の到着日確認,納期確認,なし,なし,中,注文履歴詳細,配送前,11/27出荷;まだ届きません;到着日,中,11/27出荷されてるようですがまだ届きません;到着日知りたいです,不明
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,到着予定日（納期）を知りたい,到着日（納期）を確認したい,納期確認,なし,なし,中,商品ページ,注文前,到着日;納期,中,到着日知りたいです,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,人材紹介サービスの売り込み連絡,求職者紹介の営業連絡,不明,なし,なし,高,不明,不明,株式会社プレックス;プレックスジョブ;人材紹介;求人媒体;求職者;札幌市中央区;ドライバー;営業職;to shiki-majima@plex.co.jp;090-7009-7807;Fax：03-6369-3052;https://plex.co.jp/plexjob,低,突然のご連絡失礼します。;是非一度面接の機会をいただけますでしょうか。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,出荷連絡後の注文キャンセル可否を確認したい,出荷連絡後のキャンセル可否,キャンセル,なし,なし,中,注文履歴詳細,注文後,出荷の連絡;キャンセル;可能でしょうか,中,出荷の連絡を頂いておりますが、キャンセルすることは可能でしょうか？,不明
不明,不明,不明,4,ご利用について,1,ログインできない,ログインロックの解除・ログイン復旧を依頼,ログインロック解除希望,ログイン,ログイン画面でロックされ問い合わせ画面へ誘導される,ログインロックされ復旧できない,中,ログインできない場合,不明,ログイン画面;ロック;問い合わせという画面;ログインできず;不便,中,買い物のたびにこの様になる様だと本当に不便でしょうがないと思います。;ログイン画面でロックされてしまい問い合わせという画面が出てしまいました。,不明
水着用ハンガー 半透明,不明,不明,2,ご相談について,2,販促什器について,水着用ハンガー半透明の実物確認と送料確認をしたい,実物確認方法と送料相談,サンプル確認,なし,なし,中,商品ページ,注文前,水着用ハンガー;半透明;実物;拝見;送料,低,「こちらの水着用ハンガー半透明の実物を拝見して注文を検討したい」;「お送りいただく場合であれば送料も併せてお伺いできますと幸いです」,衣料品用ハンガー
LEDツリーライト100球シャンパンゴールド,不明,不明,5,クレーム,1,お届け商品の破損,購入したLEDツリーライトの不良交換・対応希望,LEDツリーライト不点灯の対応希望,不良品対応,なし,なし,低,不明,配送後,LEDツリーライト100球シャンパンゴールド;1セット;3つ購入;電源に接続;点灯しない;2つは点灯;梱包外傷なし;接触不良,中,うち一つだけが電源に接続してもLEDが点灯しない。;非常に困っている。,ストリングライト／ストレートライト（イルミネーション）
不明,不明,不明,5,クレーム,4,商品が届かない,注文した商品が届かないため到着予定を確認したい,未着商品の到着予定確認,配送状況確認,なし,なし,中,注文履歴詳細,配送前,商品が届きません;いつ届きますか,中,商品が届きません;いつ届きますか？,不明
ウェア什器,店舗オーナー,不明,2,ご相談について,1,什器の組み合わせについて,既存のウェア什器に追加増設できるおすすめ什器を相談したい,ウェア什器への増設相談,商品選定相談,なし,なし,中,商品ページ,注文前,添付写真;ウェア什器;追加;増設;おすすめ;適した什器,低,添付写真のウェア什器上に追加で増設したいのですが、おすすめの什器または適した什器をお伺いしたいです。,その他単体什器
不明,不明,不明,5,クレーム,2,お届け商品のパーツ不足,不足している部品の送付を依頼したい,部品不足の補填依頼,不足部品対応,なし,なし,低,不明,配送後,組み立て説明書;部品明細;⑬;戸当たりクッション;全数未納;開梱;組み立て;従業員2人,中,「⑬戸当たりクッションが全数未納でした。」;「ご対応いただきたくお願いします。」,不明
